5285,4796,10502,8119,5077
5564,9265,6073,10370,4442
11638,14207,6887,7811,1645
4599,4894,12512,7093,1588
4599,4894,12512,7093,1588
2743,6764,8488,9639,12075
1304,12220,12060,9295,14284
588,10189,173,9054,13927
11446,5075,14525,2927,7885
8247,2626,3188,6398,4855
1266,7912,7158,7036,10282
12382,7922,4161,13225,13429
13787,2970,14066,3955,4882
1733,41,5310,7436,1411
125,6580,12070,554,1510
8107,1734,11905,2423,2137
4034,13254,2252,6580,10106
6918,13695,4057,439,7920
9270,5641,8654,1982,7752
9270,5641,8654,1982,7752
3096,4591,14268,10070,12115
6635,8152,4042,8782,5407
968,8315,540,4998,8570
1231,11887,1592,5714,11350
1231,11887,1592,5714,11350
9715,8167,10583,1544,6108
4460,10316,4165,1847,916
13324,12019,7790,7849,11638
5451,13038,12478,1473,10498
195,3138,13896,1295,3951
12313,9288,3013,9385,2865
8468,7329,12357,6368,12641
8379,10665,3513,12562,12959
10498,12060,1627,3177,4235
10498,12060,1627,3177,4235
7569,6402,6559,11692,13695
9170,11181,13934,1454,10495
9170,11181,13934,1454,10495
8758,13583,10653,7268,11505
3928,13983,1007,4619,1260
1266,10000,10814,5683,6067
11071,6068,3338,10003,2292
10116,1752,2247,14178,1182
7686,8968,5473,10231,2295
7686,8968,5473,10231,2295
407,4193,6325,6832,1033
7569,14310,13470,2910,13367
1308,5177,13066,12390,61
13902,6637,10427,302,7980
9170,3847,37,7892,4040
12464,1304,12060,3533,4974
12741,12641,13514,14344,14502
1548,2929,11001,624,4500
634,5180,1402,11579,6353
6914,3785,8076,14228,5510
9344,4732,8045,13156,6655
9530,10550,7464,9031,8623
6084,3107,6896,1048,5995
1141,12966,2093,11534,3210
13284,4313,8575,9279,12276
6290,6056,278,9087,11231
4972,1828,2315,1271,1270
10691,3659,4911,6856,4569
10169,792,14049,442,10130
11411,3010,9555,2910,1511
5352,1304,5543,471,13581
5051,11292,5566,10835,1718
10613,3546,4192,11967,6128
13385,10858,2541,14036,14248
12824,223,8223,9751,1658
4590,12060,1304,2244,4681
5762,10800,13663,4320,6496
14009,12936,6713,8554,12740
1266,2088,5030,10435,11549
11965,106,3134,6930,7947
11965,106,3134,6930,7947
1659,2606,9639,10232,2123
14216,1588,9569,3485,9763
385,13851,5736,501,13071
12088,5841,8970,6922,6146
48,13515,9639,2037,11146
3135,7548,7626,2819,11901
7569,3532,13558,5280,5279
8868,14081,11810,10202,8513
11428,1349,11702,10136,7048
5685,6189,5996,13341,1851
10469,2940,1971,13666,1285
2718,13384,2532,11175,12788
5047,7151,11715,6091,600
13025,11715,10288,6189,9481
4460,13646,1637,8672,10166
4478,12483,5704,7279,2291
7052,1761,11664,9963,3477
3169,13682,6211,10015,238
9423,622,5297,6389,6992
9423,622,5297,6389,6992
13639,9702,2974,3291,9542
9702,3234,11545,9878,5008
528,3871,11138,8513,9733
4935,7666,12550,5382,10806
9874,5051,3082,9146,10610
4460,3556,10000,11039,10671
9203,1410,11638,9395,8505
3468,6533,1275,7525,4110
815,2626,487,3753,5533
2363,4145,10454,7705,11195
7526,4039,2083,10519,3407
4836,11427,2067,5669,9234
11038,9726,14334,2515,5788
9655,1041,11743,10344,12609
1622,8420,10854,7323,5232
1195,5725,10474,7892,3697
13819,14522,14212,4165,12351
8524,9587,2574,10680,42
6084,3168,8237,9910,11537
11484,2342,3377,13917,9065
11294,7803,8694,9092,8553
12518,11767,12831,13456,8030
11141,1707,6141,3577,4976
4605,3212,815,5091,8719
7526,11825,5227,4222,2508
14093,4404,102,630,9266
6533,1344,7062,3828,10361
1539,4465,2159,3897,1606
9593,6521,6093,2542,14076
802,6266,14036,7450,1508
298,13418,11700,3639,10747
528,10791,2100,12574,548
13965,1727,2697,10791,1368
12061,13858,8598,1654,8122
12061,13858,8598,1654,8122
6637,10665,13616,5732,13553
10651,8773,1533,10139,11316
278,1658,11908,877,7746
2382,8501,4423,11960,3430
7344,4216,13756,8380,9857
10679,6367,2874,14113,5530
12677,10808,4704,6809,9058
789,5817,9373,9884,6780
12088,12239,7217,752,13908
1266,1460,12299,8387,4204
9060,4625,9455,10384,5721
4605,9392,839,4812,9931
1266,9392,8889,11236,2822
5524,11003,9040,9261,282
4801,7449,9903,13902,2244
14268,13890,9699,7361,5980
5817,13909,1854,8215,11408
7978,13228,3775,2457,8896
